0	429	.github/scripts/thread-transfer-report.cjs
0	292	.github/scripts/thread-transfer-report.test.cjs
10	0	.github/workflows/ci.yml
0	75	.github/workflows/thread-transfer-report.yml
1	0	README.md
2	0	apps/desktop/src/app/DesktopEnvironment.test.ts
1	1	apps/desktop/src/backend/tailscaleEndpointProvider.ts
1	0	apps/desktop/src/settings/DesktopClientSettings.test.ts
1	1	apps/marketing/src/pages/index.astro
84	0	apps/mobile/generated-uniwind-themes.css
16	0	apps/mobile/scripts/generate-uniwind-themes.mts
2	7	apps/mobile/src/components/BrandMark.tsx
10	0	apps/mobile/src/components/brandAssets.ts
166	4	apps/mobile/src/connection/environment-cache-store.test.ts
17	32	apps/mobile/src/connection/environment-cache-store.ts
9	2	apps/mobile/src/connection/runtime.ts
1	0	apps/mobile/src/connection/storage.ts
15	25	apps/mobile/src/features/archive/archivedThreadList.test.ts
3	3	apps/mobile/src/features/home/HomeScreen.tsx
28	14	apps/mobile/src/features/home/homeListItems.test.ts
3	6	apps/mobile/src/features/home/homeThreadList.test.ts
40	0	apps/mobile/src/features/home/threadArchive.test.ts
16	0	apps/mobile/src/features/home/threadArchive.ts
3	5	apps/mobile/src/features/home/useThreadListActions.ts
4	1	apps/mobile/src/features/keyboard/hardwareKeyboardCommands.ts
0	1	apps/mobile/src/features/projects/AddProjectScreen.tsx
7	11	apps/mobile/src/features/review/reviewModel.test.ts
11	10	apps/mobile/src/features/review/reviewModel.ts
13	6	apps/mobile/src/features/review/useReviewSections.ts
6	4	apps/mobile/src/features/terminal/ThreadTerminalRouteScreen.tsx
6	2	apps/mobile/src/features/threads/NewTaskDraftScreen.tsx
11	3	apps/mobile/src/features/threads/PendingApprovalCard.tsx
20	6	apps/mobile/src/features/threads/PendingUserInputCard.tsx
203	0	apps/mobile/src/features/threads/ThreadActivityInspector.tsx
5	6	apps/mobile/src/features/threads/ThreadComposer.tsx
86	81	apps/mobile/src/features/threads/ThreadDetailScreen.tsx
358	202	apps/mobile/src/features/threads/ThreadFeed.tsx
1	1	apps/mobile/src/features/threads/ThreadNavigationSidebar.tsx
150	0	apps/mobile/src/features/threads/ThreadQueueControl.tsx
307	0	apps/mobile/src/features/threads/ThreadRelationshipsBanner.tsx
32	29	apps/mobile/src/features/threads/ThreadRouteScreen.tsx
